Proposal Link,Identified Skills
https://www.nsf.gov/pubs/2012/nsf12580/nsf12580.htm,computer graphic; four year; intelligent system; project develop; project funded; review process; small medium; year
https://www.nsf.gov/pubs/2012/nsf12561/nsf12561.htm,biomedical; biomedical science; health; national institute; national science; science foundation; statistic; support interface
https://www.nsf.gov/pubs/2012/nsf12549/nsf12549.htm,computational method; computational science; data mining; development; discovery; engineering; information processing; processing; science engineering; statistic
https://www.nsf.gov/pubs/2012/nsf12547/nsf12547.htm,dynamic; dynamic system
https://www.nsf.gov/pubs/2012/nsf12546/nsf12546.htm,computer information; engineering; information science; national science; science engineering; science foundation; service
https://www.nsf.gov/pubs/2012/nsf12545/nsf12545.htm,engineering; foundation nsf; national science; science engineering; science foundation; science technology; statistic; united state
https://www.nsf.gov/pubs/2012/nsf12544/nsf12544.htm,area; foundation nsf; industry; industry future; nanotechnology; national science; science foundation; year
https://www.nsf.gov/pubs/2012/nsf12543/nsf12543.htm,business; business technology; engineering; small business; technology transfer
https://www.nsf.gov/pubs/2012/nsf12540/nsf12540.htm,area; computer information; information science; science computer
https://www.nsf.gov/pubs/2012/nsf12520/nsf12520.htm,chemical; civil; development; energy; engineering; engineering high; health; information technology; management; material; power grid; production; range application; renewable energy; science engineering; science technology; security; support system; system application; system engineering; traffic; wide range
https://www.nsf.gov/pubs/2012/nsf12512/nsf12512.htm,health; learning; machine learning; modeling; process modeling
https://www.nsf.gov/pubs/2012/nsf12510/nsf12510.htm,development; mm; statistic
https://www.nsf.gov/pubs/2012/nsf12503/nsf12503.htm,computer science
https://www.nsf.gov/pubs/2012/nsf12502/nsf12502.htm,algorithm; chemical; foundation nsf; national science; science foundation
https://www.nsf.gov/pubs/2012/nsf12499/nsf12499.htm,big data; data science; engineering; science engineering
https://www.nsf.gov/pubs/2011/nsf11584/nsf11584.htm,computer science; project develop; social science
https://www.nsf.gov/pubs/2011/nsf11576/nsf11576.htm,engineering; year
https://www.nsf.gov/pubs/2011/nsf11571/nsf11571.htm,area; directorate engineering; engineering; national science; science foundation
https://www.nsf.gov/pubs/2011/nsf11570/nsf11570.htm,area; cooperative center; national science; science foundation
https://www.nsf.gov/pubs/2011/nsf11566/nsf11566.htm,brown jr; civil; directorate engineering; discovery; earthquake engineering; engineering; engineering simulation; experimentation; foundation nsf; george brown; geotechnical; jr network; national science; network earthquake; science foundation
https://www.nsf.gov/pubs/2011/nsf11556/nsf11556.htm,intelligent system; project develop
https://www.nsf.gov/pubs/2011/nsf11553/nsf11553.htm,application area; area; development; foundation nsf; health; industry; nasa; national institute; national science; nih; robotics; science foundation; united state
https://www.nsf.gov/pubs/2011/nsf11552/nsf11552.htm,area; chemical; chemistry; energy; industry; product
https://www.nsf.gov/pubs/2011/nsf11545/nsf11545.htm,discovery
https://www.nsf.gov/pubs/2011/nsf11535/nsf11535.htm,composition; earth science; property
https://www.nsf.gov/pubs/2011/nsf11530/nsf11530.htm,national science; science foundation
https://www.nsf.gov/pubs/2011/nsf11523/nsf11523.htm,development; three year; year
https://www.nsf.gov/pubs/2011/nsf11516/nsf11516.htm,general
https://www.nsf.gov/pubs/2011/nsf11512/nsf11512.htm,brown jr; civil; earthquake engineering; engineering; engineering simulation; george brown; jr network; network earthquake
https://www.nsf.gov/pubs/2011/nsf11509/nsf11509.htm,computer information; computer science; directorate engineering; engineering; information science; science engineering
https://www.nsf.gov/pubs/2011/nsf11507/nsf11507.htm,engineering; engineering education
https://www.nsf.gov/pubs/2011/nsf11505/nsf11505.htm,computer science; theoretical foundation
https://www.nsf.gov/pubs/2011/nsf11502/nsf11502.htm,algorithm; discovery; engineering; engineering education; science engineering; wide range
https://www.nsf.gov/pubs/2010/nsf10618/nsf10618.htm,area; foundation nsf; industry; industry future; nanotechnology; national science; science foundation
https://www.nsf.gov/pubs/2010/nsf10614/nsf10614.htm,computer information; directorate engineering; engineering; foundation nsf; industry; information science; national science; science computer; science engineering; science foundation
https://www.nsf.gov/pubs/2010/nsf10613/nsf10613.htm,conversion; conversion storage; energy; solar energy
https://www.nsf.gov/pubs/2010/nsf10612/nsf10612.htm,dynamic
